Pressure,Number of Molecules of methane( Average loading absolute),Molecules/unit cell,Total energy,Adsorbate-Adsorbate energy,Host- Adsorbate
10000,9.98948,1.248685,-27128.43875,-190.08428,-26938.35447
25000,22.78848,2.84856,-62134.21781,-1035.06791,-61099.1499
50000,40.2268,5.02835,-110337.5288,-3415.20061,-106922.3282
75000,54.10256,6.76282,-149401.2275,-6271.97773,-143129.2497
100000,64.22948,8.028685,-178322.851,-8995.56749,-169327.2835
150000,73.16352,9.14544,-204275.3513,-12065.36248,-192209.9888
175000,85.28444,10.660555,-240024.012,-16657.27849,-223366.7335
200000,90.15712,11.26964,-254682.1604,-18837.88848,-235844.272
